latitude,longitude,area
35.76083333,139.5622222,5855
35.75786111,139.5646944,1605
35.75733333,139.5618611,1194
35.75630556,139.5637222,10100
35.75630556,139.5659444,4325
35.75566667,139.55575,7356
35.75411111,139.5583611,2618
35.75230556,139.5568611,7988
35.75305556,139.5584444,1201
35.75061111,139.5502778,565
35.7545,139.5535556,636
35.75380556,139.5544444,5241
35.75277778,139.5535278,701
35.75261111,139.5530278,3064
35.74933333,139.5540278,1655
35.74763889,139.5566111,9044
35.74688889,139.5580278,1329
35.74422222,139.5555556,1127
35.74138889,139.5553889,14861
35.74544444,139.5669722,4700
35.71366667,139.5305,5149
