latitude,longitude,area
35.74080556,139.5531111,5157.03
35.74058333,139.5402222,44182.65
35.74305556,139.5445,7810.96
35.74777778,139.5423056,4137.25
35.73683333,139.5305278,20013.93
35.72052778,139.5425,7080.68
35.72036111,139.53075,17931.71
35.72925,139.51875,2602.71
35.73133333,139.5193889,1302.58
35.74805556,139.5406111,3280
35.74488889,139.5368333,1221.95
35.74261111,139.5350833,2600.47
35.75461111,139.5520278,4040.51
35.75655556,139.5617778,1936.43
35.75405556,139.5674167,4462.66
35.75022222,139.5669167,4067.06
35.74408333,139.5617778,16671.21
35.73516667,139.56025,2500.29
35.73086111,139.5553056,1046.77
35.73444444,139.5487778,1079.39
35.72666667,139.5582222,1659.17
35.72558333,139.5618889,3172.5
35.72747222,139.5539722,3687.88
35.72322222,139.55625,2824.76
35.72738889,139.5520833,2417.75
35.71611111,139.5353889,5685
35.71705556,139.5179444,774737.07
35.72858333,139.5575833,50200
35.72766667,139.54575,4610
35.74011111,139.5621111,12981
35.75733333,139.5621667,10580
35.75405556,139.5675,4462.66
35.73569444,139.5473056,280
35.72688889,139.5586389,2855
35.48983333,139.4329167,1469
35.72413889,139.5558333,1258.46
35.73711111,139.5277778,1278.12
35.73883333,139.5282778,1020.98
35.73588889,139.5503056,861.34
35.739,139.5310556,1794.85
35.72538889,139.5464722,1138.04
35.72447222,139.5390278,1336.9
